"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
30,596057,"Norris, Daniel",1012,3,0,0,,0,0,0,,0,12,,,2348,91.2,90.59,30,30,0,-0.6000000000000085,5.91,110,151,123,153,294,323,294
30,543507,"May, Trevor",465,6.5,0,0,,0,0,0,,0,11,,,2294,96.1,97.28,30,30,0,1.2000000000000028,7.04,110,155,114,149,294,328,301
29,547179,"Lorenzen, Michael",1654,1.8,0,0,,0,0,0,,0,16,,,2468,94.9,93.98,29,29,0,-0.9000000000000057,5.87,114,155,120,159,292,321,294
29,571670,"Floro, Dylan",863,3.4,0,0,,0,0,0,,0,13,,,2186,92.8,92.6,29,29,0,-0.20000000000000284,6.33,109,154,121,151,298,317,294
29,666374,"Brash, Matt",935,3.1,0,0,,0,0,0,,0,6,,,2204,96.9,96.87,29,29,0,0,6.33,114,154,118,148,292,321,295
29,642152,"Trivino, Lou",955,3,0,0,,0,0,0,,0,13,,,1994,95.7,95.81,29,29,0,0.09999999999999432,6.42,109,151,118,148,296,322,291
29,656427,"Flaherty, Jack",662,4.4,0,0,,0,0,0,,0,11,,,2308,94.3,95.64,29,29,0,1.2999999999999972,6.92,110,150,111,147,300,318,295
28,663485,"Sands, Cole",603,4.6,0,0,,0,0,0,,0,11,,,2237,91.8,90.5,28,28,0,-1.2999999999999972,5.33,110,156,117,149,295,327,291
28,663989,"Vespi, Nick",446,6.3,0,0,,0,0,0,,0,7,,,2273,88.4,87.5,28,28,0,-0.9000000000000057,5.76,112,162,112,150,303,320,294
28,656794,"Newcomb, Sean",552,5.1,0,0,,0,0,0,,0,13,,,2345,94.1,73.15,28,28,0,-21,5.7,108,149,122,149,302,318,286
28,680739,"Winder, Josh",1114,2.5,0,0,,0,0,0,,0,7,,,2044,94.1,93.07,28,28,0,-1,5.74,114,156,110,148,298,327,290
